institución,DIRECCIÓN,GEOLOCALIZACIÓN,UNIDAD ACADÉMICA / ÁREA,CARRERAS,LINK,Tipo,PERIODO DE INSCRIPCIÓN,Teléfono,CONTACTO,INFO ADICIONAL
Capilla San Roque ,"Los Cipreses 4923, Barrio Libertador","-34.54307, -58.59775",Sedes Potenciate,Word Desde Cero,,Curso,,,,Viernes – 10 a 11:30
Casa de la Comunidad Organizada ,"Sarmiento 1928, San Martín","-34.55397, -58.53509",Sedes Potenciate,Excel Desde Cero,,Curso,,,,Martes - 10 a 12
Casita Vecinal “Eva Perón”  ,"Av. Eva Perón 7743, Billinghurst","-34.54916, -58.59916",Sedes Potenciate,Word Desde Cero,,Curso,,,,"Lunes - 10 a 12 
Lunes - 16 a 18hs"
CCI Rosarito Vera Padre Mugica ,"(calle 4), esquina Artigas, José León Suárez","-34.53659, -58.5849",Sedes Potenciate,Primeros Pasos de la Computación,,Curso,,,,Martes - 9:30 a 11
CCI Tren Blanco ,"Av. Central 8156, José León Suárez","-34.52507, -58.57901",Sedes Potenciate,Word Desde Cero,,Curso,,,,Viernes - 9:30 a 11
CEC Casa de Elena y Salvador ,"J. Gorriti 4301, José León Suárez","-34.54483, -58.58444",Sedes Potenciate,Primeros Pasos de la Computación,,Curso,,,,Miércoles - 10 a 11:30
CEC Costa Esperanza,"Córdoba y Bicentenario, Barrio Libertador","-34.55078, -58.60343",Sedes Potenciate,Excel Desde Cero,,Curso,,,,Jueves – 12 a 14
CEC Hidalgo,"Pedro Seguí 1820, José León Suárez","-34.50946, -58.58824",Sedes Potenciate,Word Desde Cero,,Curso,,,,Jueves - 9 a 10:30
Centro Juvenil Eucaliptus ,"La Paloma y calle 6, José León Suárez","-34.53261, -58.59286",Sedes Potenciate,Word Desde Cero,,Curso,,,,Miércoles - 15 a 16:30
CFL 410,"Rivadavia 3915, San Martín","-34.57519, -58.54292",Industria Gráfica,Técnica de Diseño Gráfico en Sistemas Informáticos I,https://linktr.ee/cfl410,Educación Superior,,5354 6600 Int. 9080,cfp410sanmartin@gmail.com,
CFL 410,"Rivadavia 3915, San Martín","-34.57519, -58.54292",Industria Gráfica,Técnica de Diseño Gráfico en Sistemas Informáticos II,https://linktr.ee/cfl410,Educación Superior,,5354 6600 Int. 9080,cfp410sanmartin@gmail.com,
CFL 410,"Rivadavia 3915, San Martín","-34.57519, -58.54292",Energía Eléctrica,Electricista en Inmuebles,https://linktr.ee/cfl410,Educación Superior,,5354 6600 Int. 9080,cfp410sanmartin@gmail.com,
CFL 410,"Rivadavia 3915, San Martín","-34.57519, -58.54292",Electromecánica,Instalador y Reparador de Equipos de Climatización,https://linktr.ee/cfl410,Educación Superior,,5354 6600 Int. 9080,cfp410sanmartin@gmail.com,
CFL 410,"Rivadavia 3915, San Martín","-34.57519, -58.54292",Electrónica,"Auxiliar de Producción, Grabación y Mezcla de Música",https://linktr.ee/cfl410,Educación Superior,,5354 6600 Int. 9080,cfp410sanmartin@gmail.com,
CFL 410,"Rivadavia 3915, San Martín","-34.57519, -58.54292",Electrónica,Instalador de Alarmas de Seguridad,https://linktr.ee/cfl410,Educación Superior,,5354 6600 Int. 9080,cfp410sanmartin@gmail.com,
CFL 410,"Rivadavia 3915, San Martín","-34.57519, -58.54292",Electrónica,Instalador de Cámaras de Seguridad,https://linktr.ee/cfl410,Educación Superior,,5354 6600 Int. 9080,cfp410sanmartin@gmail.com,
CFL 410,"Rivadavia 3915, San Martín","-34.57519, -58.54292",Informática,Habilidades Digitales,https://linktr.ee/cfl410,Educación Superior,,5354 6600 Int. 9080,cfp410sanmartin@gmail.com,
CFL 410,"Rivadavia 3915, San Martín","-34.57519, -58.54292",Informática,Proyectista Armador/a Arduino,https://linktr.ee/cfl410,Educación Superior,,5354 6600 Int. 9080,cfp410sanmartin@gmail.com,
CFL 410,"Rivadavia 3915, San Martín","-34.57519, -58.54292",Metalmecánica,Diseño y Fabricación Digital,https://linktr.ee/cfl410,Educación Superior,,5354 6600 Int. 9080,cfp410sanmartin@gmail.com,
CFL 410,"Rivadavia 3915, San Martín","-34.57519, -58.54292",Seguridad y Medio Ambiente,Auxiliar en Seguridad e Higiene Laboral,https://linktr.ee/cfl410,Educación Superior,,5354 6600 Int. 9080,cfp410sanmartin@gmail.com,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Administración y Comercialización,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Animación-Multimedia,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Artesanías en Tejido y Objetos Decorativos,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
