provider_name,program_name,title,level_or_modality,modality,address,barrio,locality,contact,phone,website,schedule,duration,enrollment_period,notes,unit,lat,lon,maps_url,address_kmz,geo_source
Capilla San Roque,,,Curso,,"Los Cipreses 4923, Barrio Libertador",,San Martín,,,,,,,Sede POTENCIATE,,,,https://www.google.com/maps/search/?api=1&query=Los+Cipreses+4923%2C+Barrio+Libertador,"DIRECCION: Los Cipreses 4923, Barrio Libertador<br>HORARIO: Viernes - 9:30 a 11<br>CURSO: Word Desde Cero",mymaps
Casa de la Comunidad Organizada,,,Curso,,"Sarmiento 1928, San Martin",,San Martín,,,,,,,Sede POTENCIATE,,,,https://www.google.com/maps/search/?api=1&query=Sarmiento+1928%2C+San+Martin,"DIRECCION: J. Gorriti 4301, Jose Leon Suarez<br>HORARIO: Lunes - 13 a 14:30<br>CURSO: Primeros Pasos de la Computación",mymaps
Casita Vecinal “Eva Perón”,,,Curso,,"Av. Eva Perón 7743, Billinghurst",,San Martín,,,,,,,Sede POTENCIATE,,,,https://www.google.com/maps/search/?api=1&query=Av.+Eva+Per%C3%B3n+7743%2C+Billinghurst,"Av. Eva Perón 3151, Villa Bonich<br>4752-4359	<br>institucional@lasalle.edu.ar	https://lasallesm.edu.ar/<br><br>Electromecánica<br>Construcción<br>Multimedios<br>Secundaria Orientada",mymaps
CCI Rosarito Vera Padre Mugica,,,Curso,,"(calle 4), esquina Artigas, Jose Leon Suarez",,San Martín,,,,,,,Sede POTENCIATE,,,,https://www.google.com/maps/search/?api=1&query=%28calle+4%29%2C+esquina+Artigas%2C+Jose+Leon+Suarez,"DIRECCION: (calle 4), esquina Artigas, Jose Leon Suarez<br>HORARIO: Jueves - 9:30 a 11<br>CURSO: Primeros Pasos de la Computación",mymaps
CCI Tren Blanco,,,Curso,,"Av. Central 8156, Jose Leon Suarez",,San Martín,,,,,,,Sede POTENCIATE,,,,https://www.google.com/maps/search/?api=1&query=Av.+Central+8156%2C+Jose+Leon+Suarez,"DIRECCION: Av. Central 8156, Jose Leon Suarez<br>HORARIO: Jueves - 9 a 10:30<br>CURSO: Word Desde Cero",mymaps
CEC Casa de Elena y Salvador,,,Curso,,"J. Gorriti 4301, Jose Leon Suarez",,San Martín,,,,,,,Sede POTENCIATE,,,,https://www.google.com/maps/search/?api=1&query=J.+Gorriti+4301%2C+Jose+Leon+Suarez,"DIRECCION: J. Gorriti 4301, Jose Leon Suarez<br>HORARIO: Lunes - 13 a 14:30<br>CURSO: Primeros Pasos de la Computación",mymaps
CEC Costa Esperanza,,,Curso,,"Córdoba y Bicentenario, Barrio Libertador",,San Martín,,,,,,,Sede POTENCIATE,,,,https://www.google.com/maps/search/?api=1&query=C%C3%B3rdoba+y+Bicentenario%2C+Barrio+Libertador,"DIRECCION: Combet y Costanera, Jose Leon Suarez<br>HORARIO: Miércoles - 10 a 11:30<br>CURSO: Primeros Pasos de la Computación",mymaps
CEC Hidalgo,,,Curso,,"Pedro Seguí 1820, Jose Leon Suarez",,San Martín,,,,,,,Sede POTENCIATE,,,,https://www.google.com/maps/search/?api=1&query=Pedro+Segu%C3%AD+1820%2C+Jose+Leon+Suarez,"DIRECCION: Pedro Seguí 1820, Jose Leon Suarez<br>HORARIO: Miércoles - 15 a 16:30<br>CURSO: Word Desde Cero",mymaps
"Centro de Formación 
Laboral N°410","Auxiliar de Producción, Grabación y",,Curso,,"Rivadavia 3915, San Martín",,San Martín,cfp410sanmartin@gmail.com,Tel.: 5354 6600 | Int. 9080,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Rivadavia+3915%2C+San+Mart%C3%ADn,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Laboral N°410",Auxiliar en Seguridad en Higiene,,Curso,,"Rivadavia 3915, San Martín",,San Martín,cfp410sanmartin@gmail.com,Tel.: 5354 6600 | Int. 9080,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Rivadavia+3915%2C+San+Mart%C3%ADn,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
